Accession,Release_Date,Species,Genus,Family,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,601,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,helicase [Severe acute respiratory syndrome coronavirus 2]
YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,527,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,3'-to-5' exonuclease [Severe acute respiratory syndrome coronavirus 2]
YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,346,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,endoRNAse [Severe acute respiratory syndrome coronavirus 2]
YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,298,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,2'-O-ribose methyltransferase [Severe acute respiratory syndrome coronavirus 2]
YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,13,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,nsp11 [Severe acute respiratory syndrome coronavirus 2]
YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,180,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,leader protein [Severe acute respiratory syndrome coronavirus 2]
YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,638,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,nsp2 [Severe acute respiratory syndrome coronavirus 2]
YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,139,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,nsp10 [Severe acute respiratory syndrome coronavirus 2]
YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724396,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724397,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724390,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724391,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724395,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,RefSeq,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47456,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47468,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47469,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47471,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47472,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47474,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,361,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,"nucleocapsid phosphoprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIM47461,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47462,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47466,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47467,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47470,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47473,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,lung,2020-03-05,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47457,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47458,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47459,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47460,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47463,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47464,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47465,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,36,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-04,,"ORF10 protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIM47475,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47478,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47480,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47481,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47476,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47477,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47479,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47482,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47483,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,oronasopharynx,2020-03-08,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
